"TechnologyArea","Name","IPAddress","MACAddress","Vuln ID","Severity","Group Title","Rule ID","STIG ID","Rule Title","Discussion","IA Controls","Check Content","Fix Text","False Positives","False Negatives","Documentable","Mitigations","Potential Impact","Third Party Tools","Mitigation Control","Responsibility","Severity Override Guidance","Check Content Reference","Classification","STIG","Status","Comments","Finding Details","Severity Override","Severity Override Justification","CCI","Fully Qualified Domain Name","NIST SP 800-53 Revision 4 References","Legacy",
"","","","","V-220726","high","SRG-OS-000433-GPOS-00192","SV-220726r569187_rule","WN10-00-000145","Data Execution Prevention (DEP) must be configured to at least OptOut.","Attackers are constantly looking for vulnerabilities in systems and applications. Data Execution Prevention (DEP) prevents harmful code from running in protected memory locations reserved for Windows and other programs.","","","Configure DEP to at least OptOut.

Note: Suspend BitLocker before making changes to the DEP configuration.

Open a command prompt (cmd.exe) or PowerShell with elevated privileges (Run as administrator).
Enter ""BCDEDIT /set {current} nx OptOut"".  (If using PowerShell ""{current}"" must be enclosed in quotes.)
""AlwaysOn"", a more restrictive selection, is also valid but does not allow applications that do not function properly to be opted out of DEP.

Opted out exceptions can be configured in the ""System Properties"".

Open ""System"" in Control Panel.
Select ""Advanced system settings"".
Click ""Settings"" in the ""Performance"" section.
Select the ""Data Execution Prevention"" tab.
Applications that are opted out are configured in the window below the selection ""Turn on DEP for all programs and services except those I select:"".","","","false","","","","","","","oval:mil.disa.stig.windows:def:121","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-002824
The information system implements organization-defined security safeguards to protect its memory from unauthorized code execution.
NIST SP 800-53 Revision 4 :: SI-16

","","SI-16","V-68845; SV-83439",
"","","","","V-220727","high","SRG-OS-000433-GPOS-00192","SV-220727r569187_rule","WN10-00-000150","Structured Exception Handling Overwrite Protection (SEHOP) must be enabled.","Attackers are constantly looking for vulnerabilities in systems and applications. Structured Exception Handling Overwrite Protection (SEHOP) blocks exploits that use the Structured Exception Handling overwrite technique, a common buffer overflow attack.","","","Configure the policy value for Computer Configuration >> Administrative Templates >> MS Security Guide >> ""Enable Structured Exception Handling Overwrite Protection (SEHOP)"" to ""Enabled"".

This policy setting requires the installation of the SecGuide custom templates included with the STIG package. ""SecGuide.admx"" and ""SecGuide.adml"" must be copied to the \Windows\PolicyDefinitions and \Windows\PolicyDefinitions\en-US directories respectively.","","","false","","","","","","","oval:mil.disa.stig.windows:def:123","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-002824
The information system implements organization-defined security safeguards to protect its memory from unauthorized code execution.
NIST SP 800-53 Revision 4 :: SI-16

","","SI-16","V-68849; SV-83445",
"","","","","V-220728","medium","SRG-OS-000095-GPOS-00049","SV-220728r569187_rule","WN10-00-000155","The Windows PowerShell 2.0 feature must be disabled on the system.","Windows PowerShell 5.0 added advanced logging features which can provide additional detail when malware has been run on a system.  Disabling the Windows PowerShell 2.0 mitigates against a downgrade attack that evades the Windows PowerShell 5.0 script block logging feature.","","","Disable ""Windows PowerShell 2.0"" on the system.

Run ""Windows PowerShell"" with elevated privileges (run as administrator).
Enter the following:
Disable-WindowsOptionalFeature -Online -FeatureName MicrosoftWindowsPowerShellV2Root

This command should disable both ""MicrosoftWindowsPowerShellV2Root"" and ""MicrosoftWindowsPowerShellV2"" which correspond to ""Windows PowerShell 2.0"" and ""Windows PowerShell 2.0 Engine"" respectively in ""Turn Windows features on or off"".

Alternately:
Search for ""Features"".
Select ""Turn Windows features on or off"".
De-select ""Windows PowerShell 2.0"".","","","false","","","","","","","oval:mil.disa.stig.windows:def:140","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000381
The organization configures the information system to provide only essential capabilities.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (ii)
NIST SP 800-53 Revision 4 :: CM-7 a

","","CM-7 a","V-70637; SV-85259",
"","","","","V-220729","medium","SRG-OS-000095-GPOS-00049","SV-220729r569187_rule","WN10-00-000160","The Server Message Block (SMB) v1 protocol must be disabled on the system.","SMBv1 is a legacy protocol that uses the MD5 algorithm as part of SMB. MD5 is known to be vulnerable to a number of attacks such as collision and preimage attacks as well as not being FIPS compliant.

Disabling SMBv1 support may prevent access to file or print sharing resources with systems or devices that only support SMBv1. File shares and print services hosted on Windows Server 2003 are an example, however Windows Server 2003 is no longer a supported operating system. Some older Network Attached Storage (NAS) devices may only support SMBv1.","","","Disable the SMBv1 protocol.

Run ""Windows PowerShell"" with elevated privileges (run as administrator).

Enter the following:
Disable-WindowsOptionalFeature -Online -FeatureName SMB1Protocol

Alternately:
Search for ""Features"".

Select ""Turn Windows features on or off"".

De-select ""SMB 1.0/CIFS File Sharing Support"".","","","false","","","","","","","oval:mil.disa.stig.windows:def:141","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000381
The organization configures the information system to provide only essential capabilities.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (ii)
NIST SP 800-53 Revision 4 :: CM-7 a

","","CM-7 a","V-70639; SV-85261",
"","","","","V-220730","medium","SRG-OS-000095-GPOS-00049","SV-220730r569187_rule","WN10-00-000165","The Server Message Block (SMB) v1 protocol must be disabled on the SMB server.","SMBv1 is a legacy protocol that uses the MD5 algorithm as part of SMB. MD5 is known to be vulnerable to a number of attacks such as collision and preimage attacks as well as not being FIPS compliant.

Disabling SMBv1 support may prevent access to file or print sharing resources with systems or devices that only support SMBv1. File shares and print services hosted on Windows Server 2003 are an example, however Windows Server 2003 is no longer a supported operating system. Some older network attached devices may only support SMBv1.","","","Configure the policy value for Computer Configuration >> Administrative Templates >> MS Security Guide >> ""Configure SMBv1 Server"" to ""Disabled"".

This policy setting requires the installation of the SecGuide custom templates included with the STIG package. ""SecGuide.admx"" and ""SecGuide.adml"" must be copied to the \Windows\PolicyDefinitions and \Windows\PolicyDefinitions\en-US directories respectively.   

The system must be restarted for the change to take effect.","","","false","","","","","","","oval:mil.disa.stig.windows:def:166","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000381
The organization configures the information system to provide only essential capabilities.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (ii)
NIST SP 800-53 Revision 4 :: CM-7 a

","","CM-7 a","V-74723; SV-89397",
"","","","","V-220731","medium","SRG-OS-000095-GPOS-00049","SV-220731r569187_rule","WN10-00-000170","The Server Message Block (SMB) v1 protocol must be disabled on the SMB client.","SMBv1 is a legacy protocol that uses the MD5 algorithm as part of SMB. MD5 is known to be vulnerable to a number of attacks such as collision and preimage attacks as well as not being FIPS compliant.

Disabling SMBv1 support may prevent access to file or print sharing resources with systems or devices that only support SMBv1. File shares and print services hosted on Windows Server 2003 are an example, however Windows Server 2003 is no longer a supported operating system. Some older network attached devices may only support SMBv1.","","","Configure the policy value for Computer Configuration >> Administrative Templates >> MS Security Guide >> ""Configure SMBv1 client driver"" to ""Enabled"" with ""Disable driver (recommended)"" selected for ""Configure MrxSmb10 driver"".

This policy setting requires the installation of the SecGuide custom templates included with the STIG package. ""SecGuide.admx"" and ""SecGuide.adml"" must be copied to the \Windows\PolicyDefinitions and \Windows\PolicyDefinitions\en-US directories respectively.   

The system must be restarted for the changes to take effect.","","","false","","","","","","","oval:mil.disa.stig.windows:def:167","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000381
The organization configures the information system to provide only essential capabilities.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (ii)
NIST SP 800-53 Revision 4 :: CM-7 a

","","CM-7 a","V-74725; SV-89399",
"","","","","V-220732","medium","SRG-OS-000095-GPOS-00049","SV-220732r569187_rule","WN10-00-000175","The Secondary Logon service must be disabled on Windows 10.","The Secondary Logon service provides a means for entering alternate credentials, typically used to run commands with elevated privileges.  Using privileged credentials in a standard user session can expose those credentials to theft.","","","Configure the ""Secondary Logon"" service ""Startup Type"" to ""Disabled"".","","","false","","","","","","","oval:mil.disa.stig.windows:def:165","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000381
The organization configures the information system to provide only essential capabilities.
NIST SP 800-53 :: CM-7
NIST SP 800-53A :: CM-7.1 (ii)
NIST SP 800-53 Revision 4 :: CM-7 a

","","CM-7 a","V-74719; SV-89393",
"","","","","V-220739","medium","SRG-OS-000329-GPOS-00128","SV-220739r569187_rule","WN10-AC-000005","Windows 10 account lockout duration must be configured to 15 minutes or greater.","The account lockout feature, when enabled, prevents brute-force password attacks on the system.   This parameter specifies the amount of time that an account will remain locked after the specified number of failed logon attempts.","","","Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Account Lockout Policy >> ""Account lockout duration"" to ""15"" minutes or greater.

A value of ""0"" is also acceptable, requiring an administrator to unlock the account.","","","false","","","","","","","oval:mil.disa.fso.windows:def:3931","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-002238
The information system automatically locks the account or node for either an organization-defined time period, until the locked account or node is released by an administrator, or delays the next login prompt according to the organization-defined delay algorithm when the maximum number of unsuccessful attempts is exceeded.
NIST SP 800-53 Revision 4 :: AC-7 b

","","AC-7 b","V-63405; SV-77895",
"","","","","V-220740","medium","SRG-OS-000021-GPOS-00005","SV-220740r569187_rule","WN10-AC-000010","The number of allowed bad logon attempts must be configured to 3 or less.","The account lockout feature, when enabled, prevents brute-force password attacks on the system.  The higher this value is, the less effective the account lockout feature will be in protecting the local system.  The number of bad logon attempts must be reasonably small to minimize the possibility of a successful password attack, while allowing for honest errors made during a normal user logon.","","","Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Account Lockout Policy >> ""Account lockout threshold"" to ""3"" or less invalid logon attempts (excluding ""0"" which is unacceptable).","","","false","","","","","","","oval:mil.disa.fso.windows:def:3932","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000044
The information system enforces the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.
NIST SP 800-53 :: AC-7 a
NIST SP 800-53A :: AC-7.1 (ii)
NIST SP 800-53 Revision 4 :: AC-7 a

","","AC-7 a","V-63409; SV-77899",
"","","","","V-220741","medium","SRG-OS-000021-GPOS-00005","SV-220741r569187_rule","WN10-AC-000015","The period of time before the bad logon counter is reset must be configured to 15 minutes.","The account lockout feature, when enabled, prevents brute-force password attacks on the system.  This parameter specifies the period of time that must pass after failed logon attempts before the counter is reset to 0.  The smaller this value is, the less effective the account lockout feature will be in protecting the local system.","","","Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Account Lockout Policy >> ""Reset account lockout counter after"" to ""15"" minutes.","","","false","","","","","","","oval:mil.disa.fso.windows:def:3933","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000044
The information system enforces the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.
NIST SP 800-53 :: AC-7 a
NIST SP 800-53A :: AC-7.1 (ii)
NIST SP 800-53 Revision 4 :: AC-7 a

CCI-002238
The information system automatically locks the account or node for either an organization-defined time period, until the locked account or node is released by an administrator, or delays the next login prompt according to the organization-defined delay algorithm when the maximum number of unsuccessful attempts is exceeded.
NIST SP 800-53 Revision 4 :: AC-7 b

","","AC-7 a;AC-7 b","V-63413; SV-77903",
"","","","","V-220742","medium","SRG-OS-000077-GPOS-00045","SV-220742r569187_rule","WN10-AC-000020","The password history must be configured to 24 passwords remembered.","A system is more vulnerable to unauthorized access when system users recycle the same password several times without being required to change a password to a unique password on a regularly scheduled basis.  This enables users to effectively negate the purpose of mandating periodic password changes.  The default value is 24 for Windows domain systems.  DoD has decided this is the appropriate value for all Windows systems.","","","Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Password Policy >> ""Enforce password history"" to ""24"" passwords remembered.","","","false","","","","","","","oval:mil.disa.fso.windows:def:3934","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000200
The information system prohibits password reuse for the organization defined number of generations.
NIST SP 800-53 :: IA-5 (1) (e)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (e)

","","IA-5 (1) (e)","V-63415; SV-77905",
"","","","","V-220743","medium","SRG-OS-000076-GPOS-00044","SV-220743r569187_rule","WN10-AC-000025","The maximum password age must be configured to 60 days or less.","The longer a password is in use, the greater the opportunity for someone to gain unauthorized knowledge of the passwords.   Scheduled changing of passwords hinders the ability of unauthorized system users to crack passwords and gain access to a system.","","","Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Password Policy >> ""Maximum Password Age"" to ""60"" days or less (excluding ""0"" which is unacceptable).","","","false","","","","","","","oval:mil.disa.fso.windows:def:3935","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Not Applicable","","","","","CCI-000199
The information system enforces maximum password lifetime restrictions.
NIST SP 800-53 :: IA-5 (1) (d)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (d)

","","IA-5 (1) (d)","V-63419; SV-77909",
"","","","","V-220744","medium","SRG-OS-000075-GPOS-00043","SV-220744r569187_rule","WN10-AC-000030","The minimum password age must be configured to at least 1 day.","Permitting passwords to be changed in immediate succession within the same day allows users to cycle passwords through their history database.  This enables users to effectively negate the purpose of mandating periodic password changes.","","","Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Password Policy >> ""Minimum Password Age"" to at least ""1"" day.","","","false","","","","","","","oval:mil.disa.fso.windows:def:3936","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000198
The information system enforces minimum password lifetime restrictions.
NIST SP 800-53 :: IA-5 (1) (d)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (d)

","","IA-5 (1) (d)","V-63421; SV-77911",
"","","","","V-220745","medium","SRG-OS-000078-GPOS-00046","SV-220745r569187_rule","WN10-AC-000035","Passwords must, at a minimum, be 14 characters.","Information systems not protected with strong password schemes (including passwords of minimum length) provide the opportunity for anyone to crack the password, thus gaining access to the system and compromising the device, information, or the local network.","","","Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Password Policy >> ""Minimum password length"" to ""14"" characters.","","","false","","","","","","","oval:mil.disa.fso.windows:def:3937","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Not Applicable","","","","","CCI-000205
The information system enforces minimum password length.
NIST SP 800-53 :: IA-5 (1) (a)
NIST SP 800-53A :: IA-5 (1).1 (i)
NIST SP 800-53 Revision 4 :: IA-5 (1) (a)

","","IA-5 (1) (a)","V-63423; SV-77913",
"","","","","V-220746","medium","SRG-OS-000069-GPOS-00037","SV-220746r569187_rule","WN10-AC-000040","The built-in Microsoft password complexity filter must be enabled.","The use of complex passwords increases their strength against guessing and brute-force attacks.  This setting configures the system to verify that newly created passwords conform to the Windows password complexity policy.","","","Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Password Policy >> ""Password must meet complexity requirements"" to ""Enabled"".","","","false","","","","","","","oval:mil.disa.fso.windows:def:3938","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Not Applicable","","","","","CCI-000192
The information system enforces password complexity by the minimum number of upper case characters used.
NIST SP 800-53 :: IA-5 (1) (a)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (a)

CCI-000193
The information system enforces password complexity by the minimum number of lower case characters used.
NIST SP 800-53 :: IA-5 (1) (a)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (a)

CCI-000194
The information system enforces password complexity by the minimum number of numeric characters used.
NIST SP 800-53 :: IA-5 (1) (a)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (a)

CCI-001619
The information system enforces password complexity by the minimum number of special characters used.
NIST SP 800-53 :: IA-5 (1) (a)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (a)

","","IA-5 (1) (a)","V-63427; SV-77917",
"","","","","V-220747","high","SRG-OS-000073-GPOS-00041","SV-220747r569187_rule","WN10-AC-000045","Reversible password encryption must be disabled.","Storing passwords using reversible encryption is essentially the same as storing clear-text versions of the passwords. For this reason, this policy must never be enabled.","","","Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Password Policy >> ""Store passwords using reversible encryption"" to ""Disabled"".","","","false","","","","","","","oval:mil.disa.fso.windows:def:3939","Unclass","Windows 10 Security Technical Implementation Guide :: Version 2, Release: 1 Benchmark Date: 13 Nov 2020","Open","","","","","CCI-000196
The information system, for password-based authentication, stores only encrypted representations of passwords.
NIST SP 800-53 :: IA-5 (1) (c)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (c)

","","IA-5 (1) (c)","V-63429; SV-77919",
